"","cellname","cluster","celltype","nUMI"
"X1772062115_G01","X1772062115_G01",2,"eNeuron",2712
"X1772067063_B12","X1772067063_B12",2,"eNeuron",4667
"X1772067063_H04","X1772067063_H04",2,"eNeuron",10640
"X1772067073_G09","X1772067073_G09",2,"eNeuron",5358
"X1772067069_E04","X1772067069_E04",2,"eNeuron",7504
"X1772067073_C04","X1772067073_C04",2,"eNeuron",7932
"X1772063071_H01","X1772063071_H01",2,"eNeuron",2551
"X1772063065_A10","X1772063065_A10",2,"eNeuron",2268
"X1772063068_D04","X1772063068_D04",2,"eNeuron",2792
"X1772067069_F05","X1772067069_F05",2,"eNeuron",5975
"X1772063068_F07","X1772063068_F07",2,"eNeuron",4563
"X1772063068_A02","X1772063068_A02",2,"eNeuron",2142
"X1772063063_E04","X1772063063_E04",2,"eNeuron",7120
"X1772063065_F02","X1772063065_F02",2,"eNeuron",2801
"X1772067074_F12","X1772067074_F12",2,"eNeuron",4648
"X1772067064_A01","X1772067064_A01",2,"eNeuron",3555
"X1772063064_B11","X1772063064_B11",2,"eNeuron",4299
"X1772062128_E10","X1772062128_E10",2,"eNeuron",2118
"X1772063065_F03","X1772063065_F03",2,"eNeuron",2392
"X1772060224_B06","X1772060224_B06",2,"eNeuron",3155
"X1772071041_H05","X1772071041_H05",2,"eNeuron",3179
"X1772062109_E06","X1772062109_E06",2,"eNeuron",4284
"X1772071040_G09","X1772071040_G09",2,"eNeuron",4393
"X1772071041_E10","X1772071041_E10",2,"eNeuron",2723
"X1772062128_D07","X1772062128_D07",2,"eNeuron",3882
"X1772062128_D10","X1772062128_D10",2,"eNeuron",4474
"X1772063078_B12","X1772063078_B12",2,"eNeuron",2315
"X1772071041_A06","X1772071041_A06",2,"eNeuron",3136
"X1772060240_F12","X1772060240_F12",2,"eNeuron",2875
"X1772063065_D04","X1772063065_D04",2,"eNeuron",2052
"X1772062116_B11","X1772062116_B11",2,"eNeuron",1828
"X1772063078_A04","X1772063078_A04",2,"eNeuron",1915
"X1772063068_D03","X1772063068_D03",2,"eNeuron",3561
"X1772062128_D12","X1772062128_D12",2,"eNeuron",1871
"X1772063070_E01","X1772063070_E01",2,"eNeuron",4277
"X1772062116_G05","X1772062116_G05",2,"eNeuron",6854
"X1772063068_H12","X1772063068_H12",2,"eNeuron",2279
"X1772063070_B11","X1772063070_B11",2,"eNeuron",2772
"X1772071041_A05","X1772071041_A05",2,"eNeuron",6107
"X1772060240_H05","X1772060240_H05",2,"eNeuron",5193
"X1772063065_F04","X1772063065_F04",2,"eNeuron",4484
"X1772063065_G10","X1772063065_G10",2,"eNeuron",3242
"X1772067074_D10","X1772067074_D10",2,"eNeuron",3576
"X1772071040_B12","X1772071040_B12",2,"eNeuron",6081
"X1772063065_D12","X1772063065_D12",2,"eNeuron",2869
"X1772063065_B02","X1772063065_B02",2,"eNeuron",3009
"X1772067074_F10","X1772067074_F10",2,"eNeuron",5778
"X1772060224_H02","X1772060224_H02",2,"eNeuron",4705
"X1772063068_E06","X1772063068_E06",2,"eNeuron",2440
"X1772071041_B01","X1772071041_B01",2,"eNeuron",3153
"X1772060226_F11","X1772060226_F11",2,"eNeuron",3661
